video_id,title,publishedAt,tags,view_count,likes,thumbnail_link
qrizmAo17Os,Homeowners Associations: Last Week Tonight with John Oliver (HBO),2023-04-10T06:30:18Z,[None],3065004,88012,https://i.ytimg.com/vi/qrizmAo17Os/default.jpg
XKDhq2UcjIM,I Got An 18th Century Makeover,2022-04-24T21:07:36Z,i got an 18th century makeover|18th century fashion|18th century hair|18th century makeup|rouge|powder|pomade|robe a la francaise|sack dress|1770s fashion|1700s fashion|1700s makeover|colonial williamsburg|colonial america|georgian fashion|georgian makeup|georgian hair|georgian era|historical fashion|fashion history|cosplay|virginia|abby cox|nicole rudolph|safiya nygaard|safiya fashion|sofiya|sofia|sophia|safiya and tyler,1253133,99572,https://i.ytimg.com/vi/XKDhq2UcjIM/default.jpg
YaAOgdxlKX8,We’re Losing Our Baby…,2022-08-28T14:33:00Z,justkass|notenoughnelsons|not enough nelsons|finding out that we will lose our baby|miscarriage|we lost our baby|i am having a miscarriage|miscarriage story|pregnancy|justkass miscarriage|justkass pregnant|pregnant|emotional|miscarry|we are going to lose our baby|i had a miscarriage|missed miscarriage|im having a miscarriage|kass and josh|lost baby,1180173,39456,https://i.ytimg.com/vi/YaAOgdxlKX8/default.jpg
aKK7vS2CHC8,NASA's Perseverance Rover Sees Solar Eclipse on Mars,2022-04-20T16:39:55Z,NASA|Jet Propulsion Laboratory|JPL|space|exploration|planets|Perseverance Mars rover|Perseverance|solar eclipse|Phobos|Phobos solar eclipse|Mars solar eclipse|Mars|solar system|Mars rovers|Mars rover,657678,5709,https://i.ytimg.com/vi/aKK7vS2CHC8/default.jpg
man7Shw6kR4,GTA Online Criminal enterprise miscellaneous Changes and additions,2022-07-26T11:30:10Z,grand|theft|auto|grand theft auto|online|grand theft auto online|gta|gtav|gta5|gta online|guide|guides|criminal|enterprises|additions|addition|change|changelog|update,109020,4332,https://i.ytimg.com/vi/man7Shw6kR4/default.jpg
uWmT0xHNuuM,"Greeicy, Alejandro Sanz - Lejos Conmigo (Video Oficial)",2021-08-20T00:00:11Z,Greeicy|alejandro sanz|Alejandro Sanz y Greeicy|Lejos Conmigo|nueva canción de Greeicy y Alejandro Sanz|Greeicy Madrid|greeicy Rendón|raquel perera|greeicy rendon|alejandro sanz hijos|manuela sánchez michel|dylan sánchez perera|manuela sanz|rachel valdés|alejandro sanz no es lo mismo|alejandro sanz más|greeicy y mike bahía|shakira alejandro sanz|shakira y alejandro sanz|alejandro sanz 2020|alejandro sanz y Shakira|sanz,2344188,140334,https://i.ytimg.com/vi/uWmT0xHNuuM/default.jpg
D317LvRm7z0,Japan $1000 Crane Game Challenge Ft. @sydsnap,2022-10-27T18:15:00Z,Crane Game|CDawgVA|Connor|Cdawg|Japan|Crane Games|Crane|Game|UFO Catcher|UFO Japan Catcher|Japanese Crane Games|Japan Arcade|Japanese Arcade|Crane Game Guide|crane game japan|Sydney|Sydsnap,929415,62626,https://i.ytimg.com/vi/D317LvRm7z0/default.jpg
UACnznS3VkY,I DESTROYED an Animatronic! (FNAF Security Breach Part 4),2021-12-20T18:00:08Z,dantdm|dan tdm|gaming|video games|funny|fnaf,2103561,61834,https://i.ytimg.com/vi/UACnznS3VkY/default.jpg
m2eNR7Wz4W8,Reindeer #shorts,2021-12-17T17:10:40Z,[None],1390146,106592,https://i.ytimg.com/vi/m2eNR7Wz4W8/default.jpg
Ja54Fggs2U8,VFX Artists React to Bad & Great CGi 50,2021-08-14T16:00:09Z,vfx|vfx artists react|react|cgi|visual effects|movies|hollywood|shot breakdown|behind the scenes|explained|loki|marvel|DC|ryan reynolds|free guy|space jam|lebron james,1251419,71421,https://i.ytimg.com/vi/Ja54Fggs2U8/default.jpg
UX4KklvCDmg,Why Everywhere in the US is Starting to Look the Same,2022-02-23T15:30:39Z,[None],1299534,43192,https://i.ytimg.com/vi/UX4KklvCDmg/default.jpg
4zVyznBrHNI,SpaceX Starship SN11 Analysis,2021-03-30T19:13:09Z,gravity link starship|spin gravity|artificial gravity|spacex|spacex news|starship|rocket science|mars|NASA|space|orbit|velocity|deep space|science|rocket|elon musk|raptor engine|International Space Station|spacex starship|star wars|star trek|voyager|gateway|sn11|sn11 fog|sn11 explosion|spacex sn11|sn11 aftermath|starship sn11|starship 11|sn11 flight|starship sn11 flight|sn11 live|sn11 landing|sn11 launch|sn11 pieces|sn11 explodes|sn11 analysis,435241,14069,https://i.ytimg.com/vi/4zVyznBrHNI/default.jpg
JYZdZcqebaE,We Try EVERY Buffalo Wild Wings Flavor,2021-02-16T11:00:05Z,gmm|good mythical morning|rhettandlink|rhett and link|mythical|rhett|mclaughlin|link|neal|will it|taste test|season 18|bww|buffalo wild wings,1813249,61363,https://i.ytimg.com/vi/JYZdZcqebaE/default.jpg
X7oQSfRMhtY,I Love the Xbox Series X Controller,2020-09-28T13:13:04Z,this is|austin evans|matt ansini|test drivers|the test drivers|Xbox|Xbox series x|Xbox series s|Series x|Series s|Series x accessories|Series x controller|Microsoft|Controller|Game pad|Elite controller 2|Xbox controller|New xbox controller|Xbox one|One x|One s|Dual sense|Dual shock|Sony|Playstation|Ps5|Consoles|Console news|Gaming|Games|Video games|Tech|Technology,339303,13904,https://i.ytimg.com/vi/X7oQSfRMhtY/default.jpg
hjTXabSgoFk,"Fortnite Item Shop *NEW* ALIEN BUNDLES! [February 25th, 2021] (Fortnite Battle Royale)",2021-02-26T00:08:30Z,fortnite|fortnite battle royale|fortnite commentary|italkfortnite|fortnite item shop|fortnite new|fortnite funny|itf|fortnite chapter 2|season 5|fortnite season 5,452248,15472,https://i.ytimg.com/vi/hjTXabSgoFk/default.jpg
FF3V5WXrcM0,TAKING DELIVERY OF MY FIRST SUPERCAR!!,2020-11-30T21:04:12Z,effspot,192744,15169,https://i.ytimg.com/vi/FF3V5WXrcM0/default.jpg
DFlu3c5ekis,Elden Ring | BEST NEW RUNE FARM 2.4 Million Runes Per Hour - Early/Mid Game Levels,2022-03-04T22:01:37Z,[None],532391,17850,https://i.ytimg.com/vi/DFlu3c5ekis/default.jpg
KQjK9MHV-yI,WAGYU BURGER,2021-01-29T17:04:05Z,[None],1026107,57888,https://i.ytimg.com/vi/KQjK9MHV-yI/default.jpg
X7jYt7mLFEs,Polo G - Martin & Gina (From The Tonight Show Starring Jimmy Fallon),2020-10-19T21:00:03Z,Columbia|Hip Hop|Martin & Gina|Polo G,334112,33326,https://i.ytimg.com/vi/X7jYt7mLFEs/default.jpg
